Cod	Denumire
754202	artificier la lucrari de suprafata
754201	artificier de mina
754109	tehnician de scufundare
754108	sef de scufundare
754107	scafandru salvator
754106	operator barocamera
754105	scafandru greu
754104	scafandru sef utilaj
754103	scafandru sef grup
754102	scafandru lucrator subacvatic
754101	scafandru
753607	talpuitor (confectioner-reparatii încaltaminte)
753606	opincar
753605	marochiner-confectioner marochinarie, dupa comanda
753604	curelar, confectioner harnasamente
753603	confectioner încaltaminte ortopedica
753602	confectioner articole din piele si înlocuitori
753601	cizmar-confectioner încaltaminte, dupa comanda
753505	mestesugar sortator în industria pielariei
753504	mestesugar finisor vegetal
753503	mestesugar finisor mineral
753502	mestesugar cenuseritor
753501	mestesugar argasitor
753403	plapumar
753402	saltelar
753401	tapiter
753305	broder la gherghef
753304	broder manual-mecanic
753303	remaieur ciorapi
753302	stopeur
753301	broder manual
753206	croitor confectioner costume teatru
753205	planimetror sabloane
753204	confectioner reparator cravate
753203	confectioner corsete
753202	multiplicator sabloane croitorie
753201	croitor-confectioner îmbracaminte, dupa comanda
753113	confectioner, prelucrator în industria textila
753112	cojocar
753111	confectioner îmbracaminte din piele si înlocuitori, dupa comanda
753110	blanar-confectioner îmbracaminte din blana, dupa comanda
753109	retusier confectii
753108	curatitor-reparator palarii
753107	ceaprazar-sepcar
753106	modista
753105	plior confectii
753104	ajutor maistru croitor
753103	confectioner palarii
753102	lenjer, confectioner lenjerie dupa comanda
753101	croitor
752328	operator la masini unelte cu comanda numerica în prelucrarea lemnului
752327	confectioner cutii chibrituri din carton
752326	preparator paste chimice pentru chibrituri
752325	finisor creioane si tocuri
752324	fasonator creioane si tocuri
752323	înnobilator scândurele pentru creioane
752322	confectioner mine pentru creioane
752321	tâmplar mecanic la slefuit
752320	tâmplar mecanic la strunjit
752319	tâmplar mecanic la frezat si gaurit
752318	tâmplar mecanic la rindeluit
752317	tâmplar mecanic la croit si dimensionat
752316	gradator rechizite si articole tehnice din lemn
752315	curbator lemn
752314	circularist la taiat lemne de foc
752313	finisor calapoade
752312	montator accesorii pentru calapoade
752311	fasonator calapoade
752310	pastator cutii de chibrituri
752309	masinist la umplerea si închiderea cutiilor de chibrituri
752308	confectioner gamalii chibrituri
752307	impregnator-uscator chibrituri
752306	confectioner cutii chibrituri din furnir
752305	confectioner parchete
752304	confectioner articole speciale din lemn
752303	taietor de precizie în lemn
752302	reglor masini de prelucrat lemn
752301	strungar în lemn
752221	tâmplar binale
752220	restaurator sarpante si structuri din lemn
752219	tâmplar restaurator
752218	preparator-dozator adezive, rasini, lacuri si emailuri în industria lemnului
752217	decupator lamele din lemn pentru lazi
752216	confectioner-montator cercuri la butoaie
752215	gardinator
752214	pregatitor suprafete pentru lacuit
752213	slefuitor, lustruitor
752212	marangoz cala-tachelagiu
752211	tâmplar manual la îmbinarea furnirelor
752210	tâmplar manual ajustor montator
752209	corhanitor
752208	tâmplar manual la presare si încleiere
752207	curbator-montator butoaie din lemn
752206	confectioner-montator produse din lemn
752205	asamblator lazi
752204	marangoz-calafatuitor
752203	tâmplar manual/artizanal
752202	tâmplar carosier
752201	tâmplar universal
752104	uscator, aburitor material lemnos
752103	pregatitor placi fibrolemnoase si hârtie pentru filme
752102	pregatitor paste chimice
752101	vopsitor lemn
751601	conditioner tutun pentru fabricarea tigaretelor
751501	degustator
751404	lucrator în procesarea de fructe de padure si ciuperci de padure
751403	preparator castane, dovleac, porumb
751402	uscator-deshidrator legume, fructe
751401	preparator conserve, legume si fructe
751303	smântânitor
751302	preparator produse lactate
751301	pasteurizator produse lactate
751205	operator la fabricarea produselor congelate de patiserie si panificatie
751204	preparator de semifabricate si preparate culinare
751203	patiser
751202	cofetar
751201	brutar
751111	operator transare carcase de pasare
751110	operator sortare carcase de pasare
751109	operator prelucrarea carcaselor de pasare
751108	operator prelucrare initiala a pasarilor
751107	afumator carne
751106	lucrator la prelucrarea pestelui
751105	operator abatorizare pasari
751104	sterilizator
751103	macelar
751102	ciontolitor transator carne
751101	carmangier
742214	electromecanic
742213	electromecanic automatizari si telecomunicatii
742212	muncitor radioelectronist
742211	electromecanic electroalimentare
742210	montator, reglor, testor aparatura de telecomunicatii si instalatii de semnalizare, centralizare si blocare
742209	linior
742208	jonctor
742207	electronist telecomunicatii
742206	electromecanic telegrafie, telefonie
742205	electromecanic retele linii
742204	electromecanic retele cabluri
742203	electromecanic radio-radioficare
742202	electromecanic SCB (semnalizare, centralizare, blocare)
742201	automatist
742106	tehnician pentru sisteme si instalatii de limitare si stingere a incendiilor
742105	tehnician pentru sisteme si instalatii de semnalizare, alarmare si alertare în caz de incendiu
742104	operator în verificarea, întretinerea si repararea instalatiilor speciale de prevenire si stingere a incendiilor
742103	plantator elemente electronice
742102	electronist depanator utilaje calcul
742101	electrician depanator utilaje calcul
741314	electrician operator
741313	electrician pentru utilizarea energiei electrice
741312	electrician de mina
741311	electrician rural
741310	electrician pentru protectia catodica
741309	electrician montator de instalatii electrice la mijloace de transport
741308	electrician montator de instalatii automatizate
741307	electrician de întretinere si reparatii
741306	electrician protectie relee, automatizari si masuratori electrice
741305	electrician montare si reparatii echipament electric din centrale, statii si posturi de transformare electrice
741304	electrician montare si reparatii linii electrice aeriene
741303	electrician montare si reparatii cabluri electrice subterane
741302	electrician exploatare retele electrice
741301	electrician exploatare centrale si statii electrice
741216	electromecanic statie pompare apa-canal
741215	electromecanic masini si echipamente electrice
741214	confectioner cablaje auto
741213	electrician nave
